Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"Desa Pandan, Kuala Lumpur",765000,2,2.0,2,Serviced Residence (Intermediate),1076,Fully Furnished,Serviced Residence,3.1468,101.7375
"Jalan Ipoh, Kuala Lumpur",1200000,4,2.0,2,Serviced Residence (Corner),2017,Partly Furnished,Serviced Residence,3.1934,101.6761
"Setapak, Kuala Lumpur",490000,4,2.0,2,Condominium,1313,Partly Furnished,Condo,3.2061,101.7271
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",390000,3,2.0,1,Apartment (Corner),956,Fully Furnished,Apartment,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",730000,2,2.0,1,Serviced Residence,913,Fully Furnished,Serviced Residence,3.1718,101.6501
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",598000,2,2.0,1,Serviced Residence,852,Partly Furnished,Serviced Residence,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",716000,4,2.0,1,Serviced Residence,1094,Partly Furnished,Serviced Residence,3.0925,101.6748
"Sungai Besi, Kuala Lumpur",830000,3,2.0,2,Serviced Residence,1430,Partly Furnished,Serviced Residence,3.0645,101.7162
"Sungai Besi, Kuala Lumpur",650000,3,2.0,2,Serviced Residence,1025,Partly Furnished,Serviced Residence,3.0645,101.7162
"Jalan Kuching, Kuala Lumpur",600000,4,3.0,2,Condominium (Corner),1397,Fully Furnished,Condo,3.1864,101.6752
"Jalan Ipoh, Kuala Lumpur",580000,3,2.0,2,Condominium (Corner),966,Unfurnished,Condo,3.1934,101.6761
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",650000,3,2.0,2,Serviced Residence (Intermediate),953,Unfurnished,Serviced Residence,3.0925,101.6748
"Batu Caves, Kuala Lumpur",1700,3,2.0,2,Serviced Residence (Intermediate),975,Partly Furnished,Serviced Residence,3.236,101.6841
"Sungai Besi, Kuala Lumpur",535000,3,2.0,2,Condominium,1074,Fully Furnished,Condo,3.0645,101.7162
"Mont Kiara, Kuala Lumpur",2600000,5,6.0,3,Condominium,3401,Partly Furnished,Condo,3.1718,101.6501
"Jalan Ipoh, Kuala Lumpur",450000,3,2.0,1,Serviced Residence (Intermediate),1020,Unfurnished,Serviced Residence,3.1934,101.6761
"Titiwangsa, Kuala Lumpur",650000,3,2.0,1,Serviced Residence,1100,Fully Furnished,Serviced Residence,3.1752,101.7038
"Taman Tun Dr Ismail, Kuala Lumpur",850000,3,3.0,1,Townhouse (Intermediate),1380,Partly Furnished,Townhouse,3.1518,101.6292
"Bukit Jalil, Kuala Lumpur",550000,2,1.0,1,Serviced Residence (Intermediate),667,Partly Furnished,Serviced Residence,3.0593,101.6895
"Jalan Kuching, Kuala Lumpur",428000,1,1.0,1,Serviced Residence (EndLot),510,Partly Furnished,Serviced Residence,3.1864,101.6752
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",418000,4,2.0,1,Serviced Residence,852,Partly Furnished,Serviced Residence,3.0925,101.6748
"Cheras, Kuala Lumpur",418000,3,2.0,2,Condominium (Intermediate),926,Unfurnished,Condo,3.0958,101.7405
"Jalan Kuching, Kuala Lumpur",540000,4,2.0,2,Serviced Residence,1129,Unfurnished,Serviced Residence,3.1864,101.6752
"KLCC, Kuala Lumpur",880000,2,2.0,1,Serviced Residence,1055,Partly Furnished,Serviced Residence,3.1578,101.7123
"Wangsa Maju, Kuala Lumpur",1588000,5,6.0,3,Condominium,2266,Partly Furnished,Condo,3.2041,101.7372
"Wangsa Maju, Kuala Lumpur",704000,3,2.0,2,Condominium,1085,Partly Furnished,Condo,3.2041,101.7372
"Bangsar, Kuala Lumpur",2880000,4,4.0,1,Condominium (Corner),3400,Fully Furnished,Condo,3.1283,101.6793
