Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"Bangsar South, Kuala Lumpur",899000,3,2.0,1,Serviced Residence (EndLot),990,Partly Furnished,Serviced Residence,3.1124,101.6654
"Setapak, Kuala Lumpur",1100000,3,3.0,3,Condominium,1938,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",620000,3,2.0,2,Condominium,1209,Partly Furnished,Condo,3.2061,101.7271
"KLCC, Kuala Lumpur",1823000,1,1.0,1,Serviced Residence,925,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bangsar, Kuala Lumpur",1100000,3,3.0,2,Condominium,1635,Fully Furnished,Condo,3.1283,101.6793
"KL Sentral, Kuala Lumpur",2100000,5,5.0,2,Condominium (Corner),3000,Fully Furnished,Condo,3.1328,101.6851
"Brickfields, Kuala Lumpur",460000,3,2.0,1,Apartment (Corner),820,Fully Furnished,Apartment,3.1291,101.6838
"Setapak, Kuala Lumpur",650000,3,2.0,2,Serviced Residence (Intermediate),1270,Fully Furnished,Serviced Residence,3.2061,101.7271
"Bukit Bintang, Kuala Lumpur",2500000,5,4.0,3,Condominium,2433,Partly Furnished,Condo,3.1466,101.7093
"Bukit Bintang, Kuala Lumpur",2780000,5,4.0,2,Condominium (Corner),3068,Fully Furnished,Condo,3.1466,101.7093
"Sri Petaling, Kuala Lumpur",450000,3,2.0,1,Condominium,1385,Fully Furnished,Condo,3.0671,101.6901
"Jalan Ipoh, Kuala Lumpur",670000,3,2.0,1,Condominium,1216,Partly Furnished,Condo,3.1934,101.6761
"Ampang, Kuala Lumpur",1900000,4,5.0,3,Serviced Residence (Duplex),1920,Partly Furnished,Serviced Residence,3.1589,101.7615
"Mont Kiara, Kuala Lumpur",1100000,2,2.0,1,Serviced Residence,926,Fully Furnished,Serviced Residence,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",355000,3,2.0,1,Apartment,878,Unfurnished,Apartment,3.0593,101.6895
"Dutamas, Kuala Lumpur",979000,3,3.0,2,Condominium (Intermediate),1451,Fully Furnished,Condo,3.1822,101.6654
"Kuchai Lama, Kuala Lumpur",320000,3,2.0,1,Condominium (Intermediate),1062,Unfurnished,Condo,3.0922,101.6862
"Bukit Jalil, Kuala Lumpur",1400000,4,4.0,3,Condominium,1878,Partly Furnished,Condo,3.0593,101.6895
"Bangsar, Kuala Lumpur",1700000,3,2.0,1,2-sty Terrace/Link House (Intermediate),1600,Fully Furnished,Terrace/Link House,3.1283,101.6793
"Jalan Kuching, Kuala Lumpur",450000,3,2.0,1,Apartment (Corner),1226,Partly Furnished,Apartment,3.1864,101.6752
"Jalan Ipoh, Kuala Lumpur",580000,3,2.0,1,Condominium (Intermediate),1272,Fully Furnished,Condo,3.1934,101.6761
"Brickfields, Kuala Lumpur",570000,3,2.0,1,Apartment (Corner),926,Fully Furnished,Apartment,3.1291,101.6838
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",355000,4,2.0,1,Apartment,956,Partly Furnished,Apartment,3.0925,101.6748
"Jalan Ipoh, Kuala Lumpur",620000,3,2.0,2,Condominium,978,Partly Furnished,Condo,3.1934,101.6761
"Mont Kiara, Kuala Lumpur",850000,4,3.0,1,Serviced Residence (EndLot),1428,Fully Furnished,Serviced Residence,3.1718,101.6501
"Bangsar South, Kuala Lumpur",500000,3,2.0,1,Condominium,900,Partly Furnished,Condo,3.1124,101.6654
"Desa Petaling, Kuala Lumpur",325000,3,2.0,1,Apartment (Intermediate),1016,Partly Furnished,Apartment,3.0853,101.7047
"Cheras, Kuala Lumpur",299000,3,2.0,1,Apartment (Corner),1020,Unfurnished,Apartment,3.0958,101.7405
"Sungai Besi, Kuala Lumpur",830000,3,2.0,2,Serviced Residence (Intermediate),1409,Fully Furnished,Serviced Residence,3.0645,101.7162
"Seputeh, Kuala Lumpur",650000,2,2.0,2,Condominium (Intermediate),1025,Fully Furnished,Condo,3.1188,101.6832
"Sentul, Kuala Lumpur",285000,3,1.0,1,Apartment,838,Unfurnished,Apartment,3.189,101.6896
"Dutamas, Kuala Lumpur",778000,3,2.0,1,Condominium (Intermediate),1253,Partly Furnished,Condo,3.1822,101.6654
"Jalan Kuching, Kuala Lumpur",315000,3,2.0,1,Condominium (Intermediate),1024,Partly Furnished,Condo,3.1864,101.6752
"Batu Caves, Kuala Lumpur",208000,3,2.0,1,Apartment (Intermediate),826,Partly Furnished,Apartment,3.236,101.6841
"Sentul, Kuala Lumpur",1030000,4,3.0,2,Condominium,1535,Partly Furnished,Condo,3.189,101.6896
"Sentul, Kuala Lumpur",990000,4,3.0,2,Condominium,1535,Partly Furnished,Condo,3.189,101.6896
"Bangsar, Kuala Lumpur",1480000,2,2.0,1,Serviced Residence (Intermediate),1076,Partly Furnished,Serviced Residence,3.1283,101.6793
"Sentul, Kuala Lumpur",990000,4,3.0,2,Condominium (Corner),1535,Partly Furnished,Condo,3.189,101.6896
"Wangsa Maju, Kuala Lumpur",468000,4,3.0,2,Condominium,1243,Partly Furnished,Condo,3.2041,101.7372
"Jalan Ipoh, Kuala Lumpur",754600,4,2.0,2,Condominium (Corner),1336,Partly Furnished,Condo,3.1934,101.6761
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",310000,2,1.0,1,Condominium (Corner),750,Fully Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",380000,3,2.0,1,Condominium (Corner),980,Unfurnished,Condo,3.0925,101.6748
"Kuchai Lama, Kuala Lumpur",700000,3,3.0,2,2-sty Terrace/Link House (Intermediate),960,Fully Furnished,Terrace/Link House,3.0922,101.6862
"Taman Desa, Kuala Lumpur",548000,2,2.0,1,Condominium,945,Fully Furnished,Condo,3.1026,101.6857
"Taman Desa, Kuala Lumpur",630000,3,2.0,2,Condominium,1097,Partly Furnished,Condo,3.1026,101.6857
"Taman Desa, Kuala Lumpur",418000,3,2.0,1,Condominium (Intermediate),938,Fully Furnished,Condo,3.1026,101.6857
"Taman Desa, Kuala Lumpur",1600000,4,4.0,2,Condominium (Intermediate),1784,Fully Furnished,Condo,3.1026,101.6857
"Kuchai Lama, Kuala Lumpur",700000,3,3.0,2,2-sty Terrace/Link House (Intermediate),960,Fully Furnished,Terrace/Link House,3.0922,101.6862
"Bukit Bintang, Kuala Lumpur",2950000,2,2.0,1,Serviced Residence (Intermediate),1308,Fully Furnished,Serviced Residence,3.1466,101.7093
"KLCC, Kuala Lumpur",1111000,2,1.0,1,Serviced Residence,654,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1996400,3,2.0,2,Serviced Residence (Duplex),1426,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",993000,2,1.0,1,Serviced Residence,662,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2591600,4,5.0,2,Condominium,2356,Fully Furnished,Condo,3.1578,101.7123
"Dutamas, Kuala Lumpur",950000,4,3.0,2,Condominium,1675,Partly Furnished,Condo,3.1822,101.6654
"KLCC, Kuala Lumpur",1600000,2,2.0,2,Condominium,1424,Partly Furnished,Condo,3.1578,101.7123
"Dutamas, Kuala Lumpur",1180000,2,2.0,2,Condominium,1058,Fully Furnished,Condo,3.1822,101.6654
"Dutamas, Kuala Lumpur",1300000,3,3.0,2,Condominium,1477,Unfurnished,Condo,3.1822,101.6654
"Bukit Tunku (Kenny Hills), Kuala Lumpur",1530000,4,3.0,2,Condominium (Corner),1850,Partly Furnished,Condo,3.1618,101.6835
"Bukit Tunku (Kenny Hills), Kuala Lumpur",1280000,4,3.0,2,Condominium (Corner),1850,Partly Furnished,Condo,3.1618,101.6835
"Dutamas, Kuala Lumpur",1600000,3,3.0,3,Condominium,1834,Unfurnished,Condo,3.1822,101.6654
"Ampang Hilir, Kuala Lumpur",1200000,4,3.0,1,Condominium (Duplex),1980,Partly Furnished,Condo,3.1532,101.7475
"Cheras, Kuala Lumpur",780000,4,3.0,2,Condominium (Penthouse),2800,Unfurnished,Condo,3.0958,101.7405
"Ampang Hilir, Kuala Lumpur",1650000,2,2.0,1,Serviced Residence (Corner),1630,Fully Furnished,Serviced Residence,3.1532,101.7475
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1380000,4,4.0,3,Condominium (Corner),2638,Unfurnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1250000,4,4.0,3,Condominium (Intermediate),2128,Unfurnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1600000,4,4.0,4,Condominium (Corner),2638,Unfurnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",938000,3,3.0,2,Condominium (Intermediate),1523,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1330000,3,3.0,2,Condominium (Intermediate),1707,Unfurnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1450000,5,4.0,3,Condominium (Intermediate),2128,Fully Furnished,Condo,3.0925,101.6748
"Setapak, Kuala Lumpur",500000,4,2.0,1,Condominium,1313,Unfurnished,Condo,3.2061,101.7271
"Mont Kiara, Kuala Lumpur",700000,1,1.0,1,Serviced Residence,670,Fully Furnished,Serviced Residence,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",580000,3,3.0,2,Condominium,1003,Unfurnished,Condo,3.0593,101.6895
"Cheras, Kuala Lumpur",400000,3,2.0,1,Condominium,975,Partly Furnished,Condo,3.0958,101.7405
"Sri Petaling, Kuala Lumpur",370000,3,2.0,1,Condominium,1017,Partly Furnished,Condo,3.0671,101.6901
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",385000,1,2.0,1,Serviced Residence,775,Partly Furnished,Serviced Residence,3.0925,101.6748
"Sentul, Kuala Lumpur",518000,4,3.0,1,Condominium (Intermediate),1412,Fully Furnished,Condo,3.189,101.6896
"Taman Tun Dr Ismail, Kuala Lumpur",980000,3,2.0,2,Serviced Residence (Corner),1146,Partly Furnished,Serviced Residence,3.1518,101.6292
"Taman Tun Dr Ismail, Kuala Lumpur",820000,3,2.0,1,Serviced Residence,1010,Fully Furnished,Serviced Residence,3.1518,101.6292
"Taman Tun Dr Ismail, Kuala Lumpur",1100000,3,2.0,1,Serviced Residence,1313,Partly Furnished,Serviced Residence,3.1518,101.6292
"Taman Tun Dr Ismail, Kuala Lumpur",1400000,4,4.0,2,Serviced Residence,1840,Partly Furnished,Serviced Residence,3.1518,101.6292
"Cheras, Kuala Lumpur",470000,4,2.0,1,Condominium (Corner),1307,Fully Furnished,Condo,3.0958,101.7405
"Jalan Ipoh, Kuala Lumpur",670000,5,3.0,1,Condominium (Corner),1650,Partly Furnished,Condo,3.1934,101.6761
"Jalan Ipoh, Kuala Lumpur",650000,4,3.0,1,Condominium (Corner),1504,Partly Furnished,Condo,3.1934,101.6761
"Mont Kiara, Kuala Lumpur",850000,2,2.0,1,Condominium,1209,Fully Furnished,Condo,3.1718,101.6501
"Jalan Ipoh, Kuala Lumpur",520000,2,2.0,1,Condominium,840,Partly Furnished,Condo,3.1934,101.6761
"Keramat, Kuala Lumpur",455000,3,2.0,1,1-sty Terrace/Link House,1500,Partly Furnished,Terrace/Link House,3.162,101.7378
"Mont Kiara, Kuala Lumpur",1300000,2,2.0,1,Serviced Residence (Corner),932,Fully Furnished,Serviced Residence,3.1718,101.6501
"KL Eco City, Kuala Lumpur",1400000,2,2.0,2,Condominium (Corner),1119,Unfurnished,Condo,3.1173,101.6757
"Ampang Hilir, Kuala Lumpur",2800000,4,4.0,3,Condominium,2240,Fully Furnished,Condo,3.1532,101.7475
"Cheras, Kuala Lumpur",400000,3,2.0,2,Condominium (Intermediate),922,Partly Furnished,Condo,3.0958,101.7405
"Dutamas, Kuala Lumpur",970000,5,4.0,2,Condominium (Corner),1830,Partly Furnished,Condo,3.1822,101.6654
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",438000,3,2.0,1,Condominium (Corner),980,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",390000,3,2.0,2,Serviced Residence (Intermediate),950,Partly Furnished,Serviced Residence,3.0925,101.6748
"Taman Desa, Kuala Lumpur",450000,1,1.0,1,Condominium (Intermediate),689,Partly Furnished,Condo,3.1026,101.6857
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",630000,3,2.0,1,Condominium (EndLot),1130,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",390000,3,2.0,2,Serviced Residence (Intermediate),950,Partly Furnished,Serviced Residence,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",548000,3,2.0,1,Condominium (Corner),1339,Partly Furnished,Condo,3.0925,101.6748
"Bukit Jalil, Kuala Lumpur",385000,3,2.0,1,Condominium,1091,Partly Furnished,Condo,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",2550000,5,4.0,3,Condominium (Corner),3000,Partly Furnished,Condo,3.1718,101.6501
"Taman Tun Dr Ismail, Kuala Lumpur",2016000,3,3.0,2,Serviced Residence,1680,Partly Furnished,Serviced Residence,3.1518,101.6292
"Bangsar South, Kuala Lumpur",888000,2,2.0,1,Serviced Residence (Intermediate),987,Partly Furnished,Serviced Residence,3.1124,101.6654
"Sri Petaling, Kuala Lumpur",360000,3,2.0,1,Condominium (Intermediate),1141,Fully Furnished,Condo,3.0671,101.6901
"Sri Petaling, Kuala Lumpur",388000,3,2.0,1,Condominium,1411,Fully Furnished,Condo,3.0671,101.6901
"Bukit Jalil, Kuala Lumpur",380000,3,2.0,1,Apartment,878,Fully Furnished,Apartment,3.0593,101.6895
"Dutamas, Kuala Lumpur",1170000,2,2.0,2,Condominium (Corner),1250,Fully Furnished,Condo,3.1822,101.6654
"Dutamas, Kuala Lumpur",890000,2,2.0,1,Condominium,887,Partly Furnished,Condo,3.1822,101.6654
"Sri Petaling, Kuala Lumpur",400000,1,1.0,1,Serviced Residence,740,Partly Furnished,Serviced Residence,3.0671,101.6901
"Bukit Jalil, Kuala Lumpur",520000,3,2.0,2,Condominium,1230,Partly Furnished,Condo,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",1580000,4,3.0,2,Condominium (Corner),1878,Partly Furnished,Condo,3.1718,101.6501
"Jalan Kuching, Kuala Lumpur",365000,3,2.0,1,Apartment (Corner),1221,Partly Furnished,Apartment,3.1864,101.6752
"Dutamas, Kuala Lumpur",1035000,4,4.0,2,Condominium,1875,Partly Furnished,Condo,3.1822,101.6654
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1280000,5,4.0,3,Condominium (EndLot),2128,Partly Furnished,Condo,3.0925,101.6748
"Dutamas, Kuala Lumpur",1040000,4,4.0,2,Condominium (Intermediate),1875,Partly Furnished,Condo,3.1822,101.6654
"KLCC, Kuala Lumpur",1000000,3,2.0,1,Serviced Residence (Intermediate),850,Fully Furnished,Serviced Residence,3.1578,101.7123
"Bukit Jalil, Kuala Lumpur",1050000,5,3.0,4,Condominium (Corner),1772,Partly Furnished,Condo,3.0593,101.6895
"City Centre, Kuala Lumpur",730000,4,3.0,1,Condominium (Corner),1521,Fully Furnished,Condo,3.1554,101.714
"Bukit Jalil, Kuala Lumpur",1250000,6,4.0,4,Condominium (Corner),1930,Partly Furnished,Condo,3.0593,101.6895
"Mont Kiara, Kuala Lumpur",2000000,4,4.0,2,Condominium,1830,Partly Furnished,Condo,3.1718,101.6501
"Cheras, Kuala Lumpur",380000,3,2.0,1,Condominium (Intermediate),935,Partly Furnished,Condo,3.0958,101.7405
"Mont Kiara, Kuala Lumpur",1490000,4,4.0,2,Condominium,1496,Partly Furnished,Condo,3.1718,101.6501
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1388000,4,4.0,3,Condominium (Corner),2638,Partly Furnished,Condo,3.0925,101.6748
"KLCC, Kuala Lumpur",1062800,2,2.0,1,Serviced Residence (Intermediate),688,Partly Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",2600000,5,6.0,2,Serviced Residence (Corner),3300,Partly Furnished,Serviced Residence,3.1578,101.7123
"Bukit Bintang, Kuala Lumpur",590000,2,1.0,1,Serviced Residence,650,Fully Furnished,Serviced Residence,3.1466,101.7093
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",490000,4,4.0,1,Condominium,1250,Fully Furnished,Condo,3.0925,101.6748
"Cheras, Kuala Lumpur",391000,3,2.0,1,Serviced Residence,891,Partly Furnished,Serviced Residence,3.0958,101.7405
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",485000,3,2.0,2,Condominium,1212,Partly Furnished,Condo,3.0925,101.6748
"Taman Desa, Kuala Lumpur",505000,2,2.0,1,Serviced Residence,715,Partly Furnished,Serviced Residence,3.1026,101.6857
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",370000,3,2.0,1,Apartment,956,Unfurnished,Apartment,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",680000,4,4.0,1,Condominium,1329,Fully Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",595000,4,4.0,2,Condominium,1329,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",435000,3,2.0,1,Condominium,941,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",348000,2,2.0,1,Condominium,732,Fully Furnished,Condo,3.0925,101.6748
"Bukit Bintang, Kuala Lumpur",625000,1,1.0,1,Serviced Residence (Corner),550,Fully Furnished,Serviced Residence,3.1466,101.7093
"KLCC, Kuala Lumpur",2200000,4,4.0,2,Condominium,2174,Partly Furnished,Condo,3.1578,101.7123
"Keramat, Kuala Lumpur",1300000,4,4.0,1,Condominium,1700,Partly Furnished,Condo,3.162,101.7378
"KLCC, Kuala Lumpur",490000,1,1.0,1,Condominium,700,Partly Furnished,Condo,3.1578,101.7123
"Keramat, Kuala Lumpur",1250000,4,3.0,1,Condominium,1700,Partly Furnished,Condo,3.162,101.7378
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",460000,3,2.0,2,Serviced Residence (Intermediate),852,Partly Furnished,Serviced Residence,3.0925,101.6748
"Ampang, Kuala Lumpur",890000,3,2.0,1,Condominium,1150,Fully Furnished,Condo,3.1589,101.7615
"Ampang, Kuala Lumpur",920000,3,2.0,1,Condominium,1200,Partly Furnished,Condo,3.1589,101.7615
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",720000,3,2.0,2,Condominium (Corner),1048,Partly Furnished,Condo,3.0925,101.6748
"KL Sentral, Kuala Lumpur",2400000,6,5.0,3,Condominium (EndLot),3029,Partly Furnished,Condo,3.1328,101.6851
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",419000,3,2.0,1,Apartment (Intermediate),920,Fully Furnished,Apartment,3.0925,101.6748
"Cheras, Kuala Lumpur",460000,4,2.0,1,Condominium (Intermediate),1142,Unfurnished,Condo,3.0958,101.7405
"Cheras, Kuala Lumpur",340000,3,2.0,1,Apartment,830,Partly Furnished,Apartment,3.0958,101.7405
"Cheras, Kuala Lumpur",465000,4,2.0,1,Condominium,1142,Unfurnished,Condo,3.0958,101.7405
"Jalan Kuching, Kuala Lumpur",225000,3,2.0,1,Flat (Corner),780,Partly Furnished,Flat,3.1864,101.6752
"KLCC, Kuala Lumpur",1270000,3,2.0,2,Serviced Residence (Corner),1184,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1420000,3,2.0,1,Condominium (Intermediate),976,Partly Furnished,Condo,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",680000,2,2.0,2,Condominium (Intermediate),1164,Fully Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",880000,3,2.0,2,Condominium (Corner),1488,Fully Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",710000,3,2.0,2,Condominium (Corner),1168,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1250000,5,5.0,3,Condominium (Penthouse),2338,Fully Furnished,Condo,3.0925,101.6748
"Kuchai Lama, Kuala Lumpur",310000,3,2.0,1,Condominium,1067,Partly Furnished,Condo,3.0922,101.6862
"Kuchai Lama, Kuala Lumpur",735000,3,2.0,2,Condominium (Intermediate),1607,Partly Furnished,Condo,3.0922,101.6862
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",510000,3,2.0,1,Condominium (Corner),1407,Fully Furnished,Condo,3.0925,101.6748
"OUG, Kuala Lumpur",620000,3,2.0,2,Townhouse (Intermediate),1600,Partly Furnished,Townhouse,3.0786,101.6783
"Kuchai Lama, Kuala Lumpur",540000,3,2.0,2,Condominium,1120,Partly Furnished,Condo,3.0922,101.6862
"Kuchai Lama, Kuala Lumpur",435000,3,2.0,1,Condominium,980,Partly Furnished,Condo,3.0922,101.6862
"Bukit Jalil, Kuala Lumpur",539000,4,2.0,1,Condominium (Intermediate),1087,Fully Furnished,Condo,3.0593,101.6895
"Setapak, Kuala Lumpur",520000,4,2.0,2,Condominium,1313,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",500000,4,2.0,2,Condominium (Intermediate),1313,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",410000,3,2.0,1,Condominium (Intermediate),1231,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",425000,4,3.0,1,Condominium,1335,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",730000,6,3.0,4,Condominium (EndLot),2500,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",535000,4,2.0,2,Condominium,1313,Partly Furnished,Condo,3.2061,101.7271
"Setapak, Kuala Lumpur",520000,4,2.0,2,Condominium,1313,Partly Furnished,Condo,3.2061,101.7271
"KLCC, Kuala Lumpur",1430000,2,2.0,1,Serviced Residence,1055,Fully Furnished,Serviced Residence,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",418000,3,2.0,1,Serviced Residence (Intermediate),852,Partly Furnished,Serviced Residence,3.0925,101.6748
"Kuchai Lama, Kuala Lumpur",440000,4,2.0,2,Condominium (Intermediate),1075,Unfurnished,Condo,3.0922,101.6862
"KLCC, Kuala Lumpur",2700000,4,4.0,2,Serviced Residence (Corner),3300,Partly Furnished,Serviced Residence,3.1578,101.7123
"Desa Pandan, Kuala Lumpur",730000,2,2.0,2,Serviced Residence (Intermediate),1076,Fully Furnished,Serviced Residence,3.1468,101.7375
"Batu Caves, Kuala Lumpur",315000,3,2.0,1,Condominium (EndLot),870,Partly Furnished,Condo,3.236,101.6841
"Jalan Ipoh, Kuala Lumpur",520000,3,2.0,1,Condominium (Intermediate),1215,Partly Furnished,Condo,3.1934,101.6761
"Jalan Ipoh, Kuala Lumpur",550000,3,2.0,1,Condominium (Intermediate),1272,Fully Furnished,Condo,3.1934,101.6761
"Bukit Jalil, Kuala Lumpur",1630000,4,4.0,3,Condominium,1878,Partly Furnished,Condo,3.0593,101.6895
"Dutamas, Kuala Lumpur",457000,3,2.0,1,Condominium (Intermediate),800,Fully Furnished,Condo,3.1822,101.6654
"Dutamas, Kuala Lumpur",530000,3,2.0,1,Condominium (Intermediate),1170,Fully Furnished,Condo,3.1822,101.6654
"Mont Kiara, Kuala Lumpur",720000,1,1.0,1,Serviced Residence,672,Fully Furnished,Serviced Residence,3.1718,101.6501
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",480000,1,1.0,1,Serviced Residence,775,Fully Furnished,Serviced Residence,3.0925,101.6748
"Sunway SPK, Kuala Lumpur",1400000,3,4.0,2,Townhouse,2500,Partly Furnished,Townhouse,3.1905,101.6378
"Bukit Jalil, Kuala Lumpur",800000,4,3.0,2,Condominium,1335,Partly Furnished,Condo,3.0593,101.6895
"Bukit Jalil, Kuala Lumpur",950000,4,3.0,2,Condominium,1508,Fully Furnished,Condo,3.0593,101.6895
"Ampang, Kuala Lumpur",1950000,4,3.0,1,Condominium (Corner),1970,Fully Furnished,Condo,3.1589,101.7615
"Mont Kiara, Kuala Lumpur",1280000,2,2.0,1,Serviced Residence,973,Fully Furnished,Serviced Residence,3.1718,101.6501
"Taman Tun Dr Ismail, Kuala Lumpur",800000,3,2.0,1,Condominium (Intermediate),1478,Fully Furnished,Condo,3.1518,101.6292
"Mont Kiara, Kuala Lumpur",1300000,2,2.0,1,Serviced Residence,983,Fully Furnished,Serviced Residence,3.1718,101.6501
"Keramat, Kuala Lumpur",1300000,4,3.0,1,Condominium,1700,Fully Furnished,Condo,3.162,101.7378
"Keramat, Kuala Lumpur",1200000,4,4.0,1,Condominium,1700,Partly Furnished,Condo,3.162,101.7378
"Mont Kiara, Kuala Lumpur",1150000,2,2.0,1,Serviced Residence,907,Fully Furnished,Serviced Residence,3.1718,101.6501
"Jalan Ipoh, Kuala Lumpur",570000,3,2.0,2,Condominium (Corner),1011,Partly Furnished,Condo,3.1934,101.6761
"Mont Kiara, Kuala Lumpur",1200000,2,2.0,1,Serviced Residence,1029,Partly Furnished,Serviced Residence,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1100000,2,2.0,1,Serviced Residence,926,Fully Furnished,Serviced Residence,3.1718,101.6501
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",938000,4,2.0,2,Condominium (EndLot),1523,Unfurnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1550000,4,4.0,4,Condominium (Corner),2638,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1050000,4,4.0,2,Condominium (Penthouse),1875,Partly Furnished,Condo,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1420000,4,2.0,2,Condominium (EndLot),2378,Unfurnished,Condo,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",1200000,4,4.0,3,Condominium,1605,Partly Furnished,Condo,3.1718,101.6501
"Mont Kiara, Kuala Lumpur",1080000,2,2.0,1,Serviced Residence,896,Fully Furnished,Serviced Residence,3.1718,101.6501
"Dutamas, Kuala Lumpur",830000,3,3.0,2,Condominium,1356,Fully Furnished,Condo,3.1822,101.6654
"Bukit Tunku (Kenny Hills), Kuala Lumpur",1200000,3,4.0,2,Condominium,2008,Partly Furnished,Condo,3.1618,101.6835
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",370000,3,2.0,1,Apartment (Corner),968,Partly Furnished,Apartment,3.0925,101.6748
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",390000,3,2.0,2,Serviced Residence (Corner),950,Partly Furnished,Serviced Residence,3.0925,101.6748
"Mont Kiara, Kuala Lumpur",1300000,4,3.0,3,Condominium,1756,Fully Furnished,Condo,3.1718,101.6501
"Kepong, Kuala Lumpur",438000,3,2.0,1,Serviced Residence (Intermediate),1137,Partly Furnished,Serviced Residence,3.2126,101.637
"Mont Kiara, Kuala Lumpur",1880000,4,4.0,2,Condominium,2243,Partly Furnished,Condo,3.1718,101.6501
"Bukit Jalil, Kuala Lumpur",555000,3,2.0,2,Condominium (Intermediate),1050,Partly Furnished,Condo,3.0593,101.6895
"Segambut, Kuala Lumpur",700000,4,2.0,1,Condominium,1250,Fully Furnished,Condo,3.189,101.6628
"Bukit Jalil, Kuala Lumpur",690000,4,3.0,2,Condominium (EndLot),1454,Fully Furnished,Condo,3.0593,101.6895
